name,displayName,ibu,srm,og,fg,abv,yeastType,notes
americanLightLager,American Light Lager,8-12,2-3,1.028-1.040,0.998-1.008,2.8-4.2,Lager,2 or 6 row barley with high percentage of corn or rice adjunts (up to 40%).
americanLager,American Lager,8-18,2-4,1.040-1.050,1.004-1.010,4.2-5.3,Lager,2 or 6 row barley with high percentage of corn or rice adjunts (up to 40%).
creamAle,Cream Ale,8-20,2.5-5,1.042-1.055,1.006-1.012,4.2-5.6,Ale,American ingredients.  2 and 6 row barley common  Any variety of hops.
americanWheatAle,American Wheat Ale,15-30,3-6,1.040-1.055,1.008-1.013,4-5.5,Both,German weissbeir yeast is inappropriate.  Large proportion of wheat malt (often 30-50%).  American german or new owrld hops are typical.
intPaleLager,International Pale Lager,18-25,2-6,1.042-1.050,1.008-1.012,4.6-6,Lager,2 or 6 row barley generaly more bitter and filling than american lager.
intAmberLager,International Amber Lager,8-25,7-14,1.042-1.055,1.008-1.014,4.6-6,Lager,2 or 6 row barley color malts such as victory or amber… ect.   Carmal malts as well.  European or American hops .
intDarkLager,International Dark Lager,8-20,14-22,1.044-1.056,1.008-1.012,4.2-6,Lager,2 or 6 row barley.  Light use of carmel and darker malts.
czechPaleLager,Czech Pale Lager,20-35,3-6,1.028-1.044,1.008-1.014,3-4.1,Lager,Soft water with low sulfate and carbon content.  Saazer-type hops.  Czech pilsner malt and czech lager yeast.
czechPremiumPaleLager,Czech Premium Pale Lager,30-45,3.5-6,1.044-1.060,1.013-1.017,4.2-5.8,Lager,Soft water with low sulfate and carbon content.  Saazer-type hops.  Czech pilsner malt and czech lager yeast.
czechAmberLager,Czech Amber Lager,20-35,10-16,1.44-1.060,1.013-1.017,4.4-5.8,Lager,Pilsner and carmel malts.  Vienna and Muncih malts may also be used.  Low mineral content water and Saazer type hops.  Czech lager yeast.
czechDarkLager,Czech Dark Lager,18-34,14-35,1.044-1.060,1.013-1.017,4.4-5.8,Lager,Pilsner and dark carmel malts with addition of roasted malts.  Low mineral content water and saazer type hops.  Czech lager yeast.
munichHelles,Munich Helles,16-22,3-5,1.44-1.048,1.006-1.012,4.7-5.4,Lager,Contiental pilsner malt and traditional german saazer type hops.  Clean german lager yeast.
festbier,Festbier,18-25,4-7,1.054-1.057,1.101-1.12,5.8-6.3,Lager,Majority pils malt with some Vienna and/or Munich malt.
hellesBock,Helles Bock,23-35,6-11,1.064-1.072,1.011-1.018,6.3-7.4,Lager,Base of pils and or vienna malt with some Munich malt.  Saazer type hops and clean lager yeast.
germanLeichtbier,German Leichtbier,15-28,2-5,1.026-1.034,1.006-1.010,2.4-306,Lager,Similar to a german pils or hells.  Cotinental pils malt with german lager yeast and saazer type hops.
kolsch,Kolsch,18-30,3.5-5,1.044-1.050,1.007-1.011,4.4-5.2,Lager,German hops and german pils or pale malts.  Clean yeast and up to 20% wheat malt may be used.  (this is rare in the authentic version.
germanHellesExportbier,German Helles Exportbier,20-30,4-7,1.048-1.056,1.010-1.015,4.8-6,Lager,German or Czech hops.  Pilsner malt with german lager yeast.
germanPils,German Pils,22-40,2-5,1.044-1.050,1.008-1.013,4.4-5.2,Lager,Continental pilser malt with german hop varieties.  German lager yeast.
viennaLager,ViennaLager,18-30,9-15,1.048-1.055,1.010-1.014,4.7-5.5,Lager,Vienna malt continental hops. Can use some carmel and / or darker malts.  Only finest quality ingredients.
munichDunkel,Munich Dunkel,18-28,14-28,1.048-1.056,1.010-1.016,4.5-5.6,Lager,Munich malt with the remainder in german pils.  Smallamounts of crystal malt (small amount).  Traditional german hop varities and german lager yeast.
doppelbock,Doppelbock,16-26,6-25,1.072-1.112,1.016-1.024,7-10,Lager,Pils and / or vienna malt.  Muncih and vienna malts for daker versions.  Saazer type hops and clean lager yeast.
weissbier,Weissbier,5-15,2-6,1.044-1.052,1.010-1.014,4.3-5.6,Both,At least 50% malted wheat (traditionally) raminder is pilsner malt  Weizen ale yeast.
irishRedAle,Irish Red Ale,18-28,9-14,1.036-1.046,1.010-1.014,3.8-5,Ale,Bit of roasted or black malt.  Pale base malt.
blondeAle,Blonde Ale,15-28,3-6,1.038-1.054,1.008-1.013,3.8-5.5,Ale,Can include up to 25% wheat malt.
americanPaleAle,American Pale Ale,30-50,5-10,1.045-1.060,1.010-1.015,4.5-6.2,Ale,Pale ale malt typically US 2 row.  American or new world hops.  American or English ale yeast.
americanAmberAle,American Amber Ale,25-40,10-17,1.045-1.060,1.010-1.015,4.5-6.2,Ale,Pale ale malt typically US 2 row.  American or new world hops.  American or English ale yeast.  Medium to dark crystal malts.
americanBrownAle,American Brown Ale,20-30,18-35,1.045-1.060,1.010-1.016,4.3-6.2,Ale,Pale malt plus crystal and darker malts.  American hops are typical.
